Fuel_Type,Year,Amount,Rank
Hydro,1999,16563.0,1
Wind,1999,28.0,4
Solar,1999,37.7,3
Bioenergy,1999,1133.0,2
Hydro,2000,16720.0,1
Wind,2000,58.0,3
Solar,2000,43.5,4
Bioenergy,2000,1134.0,2
Hydro,2001,16933.0,1
Wind,2001,210.0,3
Solar,2001,50.0,4
Bioenergy,2001,645.0,2
Hydro,2002,16054.0,1
Wind,2002,364.0,3
Solar,2002,58.3,4
Bioenergy,2002,950.0,2
Hydro,2003,16490.0,1
Wind,2003,705.0,3
Solar,2003,68.1,4
Bioenergy,2003,1583.6,2
Hydro,2004,16331.1,1
Wind,2004,705.0,3
Solar,2004,68.1,4
Bioenergy,2004,1799.5,2
Hydro,2005,15612.2,1
Wind,2005,885.0,3
Solar,2005,77.8,4
Bioenergy,2005,3830.0,2
Hydro,2006,16029.2,1
Wind,2006,1713.1,3
Solar,2006,90.3,4
Bioenergy,2006,3911.0,2
Hydro,2007,14517.0,1
Wind,2007,2611.1,3
Solar,2007,104.7,4
Bioenergy,2007,3953.0,2
Hydro,2008,12056.9,1
Wind,2008,3093.1,3
Solar,2008,122.8,4
Bioenergy,2008,4596.0,2
Hydro,2009,11869.4,1
Wind,2009,3823.8,2
Solar,2009,155.6,4
Bioenergy,2009,2795.2,3
Hydro,2010,13548.7,1
Wind,2010,5051.7,2
Solar,2010,424.8,4
Bioenergy,2010,2777.4,3
Hydro,2011,16806.7,1
Wind,2011,6084.9,2
Solar,2011,1530.5,4
Bioenergy,2011,2101.7,3
Hydro,2012,14083.3,1
Wind,2012,6969.8,2
Solar,2012,2558.6,4
Bioenergy,2012,3043.7,3
Hydro,2013,18269.6,1
Wind,2013,7959.6,2
Solar,2013,3826.2,3
Bioenergy,2013,3143.5,4
Hydro,2014,18420.9,1
Wind,2014,10251.9,2
Solar,2014,4416.0,3
Bioenergy,2014,3499.4,4
Hydro,2015,13445.0,1
Wind,2015,11466.5,2
Solar,2015,5531.3,3
Bioenergy,2015,3592.2,4
Hydro,2016,15318.2,1
Wind,2016,12199.5,2
Solar,2016,6838.3,3
Bioenergy,2016,3789.9,4
Hydro,2017,16284.9,1
Wind,2017,12597.0,2
Solar,2017,8071.7,3
Bioenergy,2017,3500.5,4
Hydro,2018,16020.8,1
Wind,2018,15174.4,2
Solar,2018,9929.9,3
Bioenergy,2018,3517.7,4
Hydro,2019,15967.3,2
Wind,2019,17712.0,1
Solar,2019,14848.5,3
Bioenergy,2019,3495.9,4
Hydro,2020,15149.6,3
Wind,2020,20395.9,2
Solar,2020,21033.2,1
Bioenergy,2020,3351.6,4
Hydro,2021,15199.7,3
Wind,2021,24535.4,2
Solar,2021,27717.0,1
Bioenergy,2021,3346.2,4
Hydro,2022,17010.9,3
Wind,2022,29107.8,2
Solar,2022,34686.6,1
Bioenergy,2022,3190.3,4
Hydro,2023,16666.1,3
Wind,2023,31384.9,2
Solar,2023,41968.5,1
Bioenergy,2023,3092.8,4
